ticker,NVDA US Equity,DELL US Equity,INTC US Equity,QCOM US Equity,DBX US Equity,CVX US Equity,TRGP US Equity,LMT US Equity,BSX US Equity,LLY US Equity,AMGN US Equity,BMY US Equity,TIGR US Equity,BRK/B US Equity,JKS US Equity,LULU US Equity
field,TOT_RETURN_INDEX_NET_DVDS,TOT_RETURN_INDEX_NET_DVDS,TOT_RETURN_INDEX_NET_DVDS,TOT_RETURN_INDEX_NET_DVDS,TOT_RETURN_INDEX_NET_DVDS,TOT_RETURN_INDEX_NET_DVDS,TOT_RETURN_INDEX_NET_DVDS,TOT_RETURN_INDEX_NET_DVDS,TOT_RETURN_INDEX_NET_DVDS,TOT_RETURN_INDEX_NET_DVDS,TOT_RETURN_INDEX_NET_DVDS,TOT_RETURN_INDEX_NET_DVDS,TOT_RETURN_INDEX_NET_DVDS,TOT_RETURN_INDEX_NET_DVDS,TOT_RETURN_INDEX_NET_DVDS,TOT_RETURN_INDEX_NET_DVDS
date,,,,,,,,,,,,,,,,
2024-09-18,113.3795,116.4001,20.9067,169.1739,24.49,145.5581,153.0338,568.63,82.57,906.2329,335.25,49.74,3.49,456.6,21.9477,270.2
2024-09-19,117.8799,118.1864,21.2792,174.8231,24.47,146.5996,153.0539,568.319,83.71,916.3169,338.302,49.02,3.82,459.71,21.4738,270.76
2024-09-20,116.0097,117.9155,21.9838,169.7971,24.7,147.2972,153.6773,575.096,83.92,922.7759,339.742,49.41,3.69,455.31,21.2585,262.61
2024-09-23,116.2698,117.9857,22.7085,166.8217,24.79,149.1779,156.3923,583.734,84.0,919.8018,337.959,50.01,3.79,454.98,21.1723,259.8
2024-09-24,120.8801,117.7248,22.9601,167.8169,24.93,149.0869,157.3274,581.843,83.51,925.72,333.236,50.94,4.32,454.56,22.4538,263.55
2024-09-25,123.5204,120.5949,23.6949,169.1437,24.82,145.5683,156.4124,581.15,83.5,925.8502,315.05,49.95,4.16,452.36,21.5492,259.74
2024-09-26,124.0504,126.9373,24.0775,173.5565,24.98,143.5663,147.1212,580.607,83.08,910.5889,321.334,50.12,4.81,454.18,22.8846,268.82
2024-09-27,121.4102,120.6451,24.0674,171.0134,25.31,147.1051,147.6139,585.594,83.35,879.0149,324.929,50.91,4.58,457.47,24.9954,280.01
2024-09-30,121.4502,118.9592,23.6144,170.933,25.43,148.9049,148.8306,587.806,83.8,887.1763,324.465,51.74,5.34,460.26,28.8831,271.35
2024-10-01,117.0098,113.5601,22.8394,166.6408,25.05,151.3619,151.4148,609.225,84.14,885.7143,322.562,52.9,6.23,457.41,27.4938,266.45
2024-10-02,118.86,113.8612,22.5374,169.194,25.12,152.6257,154.0896,606.55,84.49,892.3135,321.968,53.76,8.06,456.67,27.4938,260.53
2024-10-03,122.8603,116.079,22.4065,169.7971,25.53,152.9291,156.3621,609.184,83.82,886.7858,319.702,54.2,9.19,452.96,28.0969,262.56
2024-10-04,124.9305,120.8458,22.7387,169.777,25.37,152.4134,158.8961,608.491,84.54,888.398,321.898,54.56,12.39,461.97,32.2431,270.38
2024-10-07,127.7307,119.5111,22.5273,167.8068,25.28,152.7976,158.9564,608.903,84.41,899.6537,319.672,54.0342,11.46,453.5,35.2908,272.48
